protein,DDA_APT_D5_1,DDA_APT_D5_2,DDA_APT_D5_3,DDA_APT_D6_1,DDA_APT_D6_2,DDA_APT_D6_3,DDA_APT_F7_1,DDA_APT_F7_2,DDA_APT_F7_3,DDA_APT_M8_1,DDA_APT_M8_2,DDA_APT_M8_3,DDA_FDU_D5_1,DDA_FDU_D5_2,DDA_FDU_D5_3,DDA_FDU_D6_1,DDA_FDU_D6_2,DDA_FDU_D6_3,DDA_FDU_F7_1,DDA_FDU_F7_2,DDA_FDU_F7_3,DDA_FDU_M8_1,DDA_FDU_M8_2,DDA_FDU_M8_3,DDA_NVG_D5_1,DDA_NVG_D5_2,DDA_NVG_D5_3,DDA_NVG_D6_1,DDA_NVG_D6_2,DDA_NVG_D6_3,DDA_NVG_F7_1,DDA_NVG_F7_2,DDA_NVG_F7_3,DDA_NVG_M8_1,DDA_NVG_M8_2,DDA_NVG_M8_3,DIA_APT_D5_1,DIA_APT_D5_2,DIA_APT_D5_3,DIA_APT_D6_1,DIA_APT_D6_2,DIA_APT_D6_3,DIA_APT_F7_1,DIA_APT_F7_2,DIA_APT_F7_3,DIA_APT_M8_1,DIA_APT_M8_2,DIA_APT_M8_3,DIA_BGI_D5_1,DIA_BGI_D5_2,DIA_BGI_D5_3,DIA_BGI_D6_1,DIA_BGI_D6_2,DIA_BGI_D6_3,DIA_BGI_F7_1,DIA_BGI_F7_2,DIA_BGI_F7_3,DIA_BGI_M8_1,DIA_BGI_M8_2,DIA_BGI_M8_3,DIA_FDU_D5_1,DIA_FDU_D5_2,DIA_FDU_D5_3,DIA_FDU_D6_1,DIA_FDU_D6_2,DIA_FDU_D6_3,DIA_FDU_F7_1,DIA_FDU_F7_2,DIA_FDU_F7_3,DIA_FDU_M8_1,DIA_FDU_M8_2,DIA_FDU_M8_3
2-5-oligoadenylate synthase 1,6.65351100002358,6.44980700002358,5.72170600002358,7.33097120002359,6.67090500002358,6.39402800002358,7.02546640002359,6.28856500002358,6.34486100002359,6.90100050002358,6.57002100002359,6.45138400002358,6.5529637000236,5.94083300002358,6.28499600002358,7.45952700002358,6.88881970002358,7.13984600002358,7.01296470002358,7.22029200002358,6.71621600002359,6.80412960002358,6.76530740002359,6.49780270002358,6.09532300002358,6.30136700002359,6.07315730002359,6.73898030002358,6.66494130002358,6.6021824000236,6.58050540002359,6.68641800002358,6.71965360002358,6.61779100002358,6.48765330002359,6.35470150002359,6.95355840002358,6.76053670002359,6.84643130002358,7.46810050002358,7.48916670002359,7.79051350002358,7.34304600002359,7.65317000002358,7.56034370002358,7.19158030002359,7.3931866000236,7.5860800000236,5.88698530002358,5.91928630002359,6.31888250002358,6.33577440002358,6.45995430002358,6.6454780000236,6.18849750002358,6.93219000002358,6.84308960002358,6.34526870002359,6.54867650002359,6.64721440002358,6.48280570002358,6.53800150002358,6.58373070002358,7.06738000002359,6.91795250002358,7.11198040002358,6.89492600002358,7.09546850002358,7.15917830002358,6.82552960002358,6.98384050002358,7.01111600002358
2-5-oligoadenylate synthase 2,6.99210557108059,6.78562188594521,6.05268910397307,7.68323911731552,7.01198587766961,6.72952933319717,7.3736988620606,6.62446482366649,6.67625566514782,7.24505498020065,6.90504625788542,6.78857417678341,6.89559893703995,6.27721714222254,6.62218733269984,7.82275767348954,7.24302980275317,7.49461912323591,7.36623988960187,7.57752155335408,7.06193252111883,7.1541081950643,7.11348800067746,6.83466010414214,6.42558382276603,6.63715345876198,6.40908822886763,7.07907987685293,7.00497348201696,6.94743217162133,6.91774194183403,7.02937948506719,7.06296776460711,6.96148349105731,6.83161897031209,6.69763074800559,7.29216869938767,7.0986687724846,7.18666992264369,7.82580105456234,7.85521569335679,8.16039417621564,7.70045565435018,8.01982060885526,7.92699979179358,7.5385259038732,7.75151081162715,7.94331678246585,6.20066358951909,6.23368305873575,6.63968329751228,6.6558126232494,6.78096664253623,6.97313259434118,6.50476901322003,7.2743520250853,7.17535446558207,6.66780239072728,6.87345770381889,6.97656081444838,6.81757753949636,6.87459234963357,6.92149869327385,7.41491903928047,7.2644385929233,7.46218007686795,7.23817276570232,7.44677990678092,7.51057698792298,7.16635915967803,7.32735405094138,7.36089027680433
2-5-oligoadenylate synthase 3,6.86623365224391,6.66526850947119,5.93610254389043,7.54065513020304,6.88303756420329,6.60732923579262,7.23745999616486,6.50124415787947,6.56037809287519,7.11335970733362,6.78309404982971,6.66800546671291,6.76641980111188,6.15748641208287,6.49943513605065,7.66768413424222,7.10109674245197,7.3532153883891,7.22141294698082,7.4310689295131,6.92823975067796,7.01739941749457,6.98074156035423,6.71187331775676,6.29754127018923,6.50161759365942,6.27698799692868,6.93662587169936,6.86296843761063,6.79982673540822,6.77900981048554,6.88426281026597,6.91671822286654,6.81581796252929,6.6890588954248,6.55544255596105,7.16430837771057,6.9752665798462,7.06099775468395,7.68034993139458,7.70527901270629,8.00428830441086,7.55540175396055,7.86713327599005,7.77535222472844,7.40278205145386,7.60803347676372,7.79959086454396,6.10504878703451,6.13550429903958,6.5347266118111,6.5536365129639,6.67655365362322,6.86252161968852,6.40510471090021,7.15179206413135,7.05717520757318,6.56422967983175,6.76705755130734,6.86725939640095,6.70914042488231,6.76364950031431,6.80775613685557,7.29257052975072,7.14430615716426,7.33742303553181,7.11882729699173,7.32027255593369,7.38127038259245,7.05189568095622,7.20849801780162,7.23708387373429
2-deoxynucleoside 5-phosphate N-hydrolase 1,7.16496040002608,6.94375900002608,6.15642830002608,7.90570600002609,7.20063070002608,6.90557700002608,7.57308200002608,6.79066660002608,6.83464770002608,7.44409850002608,7.07832300002608,6.95422800002608,7.05081750002608,6.39028070002608,6.77599670002608,8.03535100002608,7.42956900002608,7.69429870002608,7.55836400002608,7.78385160002608,7.24873450002608,7.33446360002608,7.28602700002608,7.00866270002608,6.58366200002608,6.80262950002608,6.55679370002609,7.26630830002608,7.18903880002608,7.12133400002608,7.10035560002608,7.21237900002608,7.24700640002608,7.13728000002608,7.00118350002608,6.85769400002608,7.49197340002608,7.27217630002608,7.36230330002608,8.04535600002608,8.06649700002609,8.38450050002609,7.90670000002608,8.23552800002608,8.13551700002608,7.75002600002609,7.96572730002609,8.1645660000261,6.31236930002608,6.34826500002609,6.78725430002608,6.81274180002608,6.95182500002608,7.14547400002609,6.65664600002608,7.44551000002608,7.36857750002608,6.82384600002608,7.04754200002608,7.14437680002608,6.96168400002608,7.03031540002608,7.07989600002608,7.60299540002608,7.44201000002608,7.65372040002608,7.42154930002608,7.63779930002608,7.70973250002608,7.34306240002608,7.51058050002608,7.54019900002608
"2-oxoglutarate dehydrogenase, mitochondrial",6.85004028821531,6.64758061360031,5.91552423834426,7.53394325979951,6.87152033396539,6.59489847839462,7.22595803196739,6.48810711509294,6.54574393622197,7.1016245866988,6.77003949184427,6.65498830692417,6.75431929432902,6.1375796725695,6.48908835541272,7.66597315954453,7.0974193706215,7.35000485557562,7.21679249750898,7.43070328986001,6.92528037399338,7.01020048544767,6.97451727475178,6.70180196152503,6.29235336132283,6.49941521105292,6.27377391435816,6.93214707333553,6.85882627347968,6.7986311728535,6.77276998595582,6.88120109964044,6.91438809498062,6.81464736043264,6.68622425411771,6.55512376554686,7.14451295830937,6.94882768448277,7.03520885951953,7.66175596220955,7.68607320507713,7.98745936021905,7.53495467552365,7.84811223924598,7.75465400748841,7.38332591625713,7.58803352719717,7.7805847427223,6.0521667482537,6.0866273446928,6.50014913501556,6.51606467331706,6.64464254933234,6.83275097059178,6.36581135897042,7.12196323567258,7.03172506015267,6.52401999347952,6.73376079976668,6.82945825007269,6.66090998303513,6.72212365559395,6.76901217492551,7.25343749865373,7.10488658851528,7.29935653350085,7.0812929814382,7.28358857367161,7.34864547944465,7.0105835123321,7.1675513960551,7.19820742775752
"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",6.56250700002298,6.36318600002297,5.63941860002299,7.22527930002299,6.57253170002298,6.29959200002298,6.92652560002299,6.19297550002299,6.25578980002299,6.80313300002298,6.47903440002299,6.36806340002299,6.47183400002299,5.86484860002298,6.20035900002299,7.36767860002297,6.80075650002299,7.05876450002299,6.91803900002298,7.13189840002297,6.62818500002299,6.72038400002299,6.68887850002299,6.40643200002298,6.00760700002298,6.21376400002299,5.99597700002299,6.64475000002299,6.57138000002299,6.51866150002299,6.48462630002299,6.59635730002298,6.62953900002299,6.53063870002298,6.40416670002299,6.27715160002299,6.85094200002299,6.67204670002299,6.75707700002299,7.37150670002299,7.39887430002299,7.69745350002299,7.24914900002299,7.55901430002299,7.46592240002298,7.09028630002299,7.29886630002299,7.49040200002299,5.78759340002299,5.82029960002299,6.22145130002299,6.23701900002299,6.35931900002299,6.54940940002299,6.08579060002299,6.84690480002297,6.74417000002299,6.24903540002299,6.45025970002299,6.55325130002299,6.40679000002299,6.45747600002298,6.50578400002299,6.98876200002299,6.84001200002299,7.03572560002298,6.81340400002299,7.02052350002299,7.08401160002299,6.74385830002299,6.90171400002299,6.93564750002299
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",6.4925440000231,6.3028016000231,5.5982704000231,7.13786700002311,6.49704360002311,6.22767930002311,6.84769730002311,6.1231510000231,6.19450760002311,6.7237334000231,6.40923000002311,6.30522100002311,6.40240700002311,5.81180950002311,6.1242670000231,7.27589400002311,6.7197160000231,6.97476500002311,6.8385563000231,7.0490730000231,6.54941800002311,6.64341700002311,6.61615300002311,6.34775260002311,5.9282820000231,6.13116360002311,5.92699500002311,6.55402370002311,6.4817805000231,6.43222670002311,6.39392660002311,6.50765500002311,6.5430665000231,6.44188300002311,6.32211830002311,6.20189400002311,6.7776560000231,6.61142540002311,6.69703000002311,7.29544450002311,7.32662500002311,7.61423100002311,7.18135800002311,7.48233560002311,7.3892374000231,7.01324400002311,7.22362700002311,7.41754600002311,5.75897000002311,5.79465530002311,6.1775750000231,6.1916795000231,6.30649040002311,6.49773700002312,6.0436440000231,6.79782100002311,6.67860360002311,6.20464940002311,6.39776000002311,6.50595140002311,6.37777400002311,6.42343100002311,6.46603600002311,6.93617870002311,6.7940726000231,6.9826410000231,6.76394650002311,6.96587600002311,7.01925400002311,6.6996136000231,6.85349460002311,6.88526540002311
"2,4-dienoyl-CoA reductase, mitochondrial",6.99827505486279,6.79194058143906,6.04278964182297,7.68962839160945,7.01522974839399,6.73199592629172,7.37560343756339,6.62251336774167,6.67860661801282,7.2519429774239,6.91233700938173,6.79755363745201,6.90230463179549,6.27005784263928,6.6269531787192,7.83460168734153,7.24917504233695,7.51167402974083,7.37294885917195,7.59188292753646,7.07273270220077,7.16383764727479,7.12821874067017,6.85209631306719,6.42202938402381,6.63331876268189,6.40808709222509,7.07896233417692,7.00351932946627,6.94621342750522,6.91438900535935,7.02801326719602,7.06266669586347,6.9610269994627,6.83026619915788,6.69733238289948,7.30191627232663,7.10951528085093,7.19902892547139,7.8388356394264,7.86497667748335,8.17107472332743,7.70936858872057,8.02712651762758,7.93186905415036,7.55168790307638,7.76553710315943,7.96241760728277,6.19744835609837,6.23005771111698,6.6486863213018,6.66420017155684,6.79202605275661,6.98559349343205,6.50893741758161,7.2890288309021,7.18728374927709,6.67922818683728,6.88878685657874,6.99266136012811,6.84236398144128,6.89977586572033,6.94718856342334,7.4428850181592,7.29142752553027,7.49238925738449,7.26537789513688,7.47571617165405,7.54013055886365,7.1948152222942,7.35766882788935,7.3891724393346
26S protease regulatory subunit 10B,6.69498104127294,6.49454235479202,5.77948379780667,7.372011891403,6.71638505509935,6.44069313071759,7.06561883656257,6.33363395626841,6.39105486002831,6.94485647818402,6.61243063895803,6.49935317866495,6.60105650192752,5.99892377230724,6.3352974655686,7.50754753959269,6.9405135173128,7.19154158101694,7.06334719332683,7.26976460886835,6.77078912295711,6.85719991270326,6.81644609984217,6.55067344481787,6.14580662430211,6.35260651802037,6.129091731491,6.78755712327124,6.7147522902563,6.65489940757905,6.62985815261516,6.73781449698439,6.7710289080944,6.67010510530551,6.54235725437915,6.41088540767014,6.99670708460978,6.80551498083363,6.89217802811035,7.51542589031838,7.5402995770165,7.83891877964832,7.38916594460192,7.69851445661393,7.60682752984143,7.23873043314875,7.44399250844076,7.63210148131066,5.92794733278169,5.96213114106546,6.36343777169397,6.38219836368753,6.50722860679176,6.69303157246278,6.23412956551763,6.97944678187351,6.89221691317863,6.3932394542318,6.59836686427095,6.69659245442984,6.5349730824161,6.59617919266537,6.64211650409466,7.126790999559,6.97826230689647,7.17353911439434,6.95382274856708,7.15703538267913,7.22029194925979,6.88535939341405,7.04177639344738,7.07123791790316
26S protease regulatory subunit 4,6.79897321911046,6.59195525547326,5.85458443346807,7.4916537060555,6.82879141800612,6.54884381419205,7.1809112343584,6.43957313340502,6.48887106110104,7.05968680664141,6.7166702969264,6.60317779122001,6.69965893586756,6.07187671290246,6.42893285403257,7.62753612297966,7.05124352246666,7.303486294728,7.17370660394848,7.38794243841244,6.8761801983139,6.96156292924557,6.92059685009213,6.65191992146342,6.25068167848738,6.45966051612006,6.23040571130429,6.89947913447214,6.8256363192635,6.76530678162582,6.73873919097851,6.84966991047464,6.88210063179754,6.77894603531886,6.65055595457127,6.51366195330417,7.10805697832115,6.90912142658347,6.99554466265061,7.63626149484716,7.65762400673168,7.95593866178417,7.50522634596823,7.81313508903023,7.71930657454902,7.35490031647586,7.56210273002605,7.75215843476559,5.99858769426638,6.03644051376196,6.45189677889887,6.47281976523438,6.60049979375101,6.78739712621226,6.3219623758075,7.07275834303393,6.98892867911371,6.48460926296405,6.69221427299292,6.78972771067171,6.61659321105473,6.67779327440264,6.72594444034642,7.21982357304139,7.06953667319124,7.26843040689333,7.04624542679831,7.25249703381206,7.3181024540141,6.97478413983286,7.13310162812374,7.16449752962706
