protein,batch1_group1_rep1,batch1_group1_rep2,batch1_group1_rep3,batch1_group3_rep1,batch1_group3_rep2,batch1_group3_rep3,batch2_group1_rep1,batch2_group1_rep2,batch2_group1_rep3,batch2_group2_rep1,batch2_group2_rep2,batch2_group2_rep3,batch3_group1_rep1,batch3_group1_rep2,batch3_group1_rep3,batch3_group2_rep1,batch3_group2_rep2,batch3_group2_rep3,batch3_group3_rep1,batch3_group3_rep2,batch3_group3_rep3
1,43.9927235323138,44.5064180113348,44.0864396947723,44.5599402104287,44.331612456189,44.1388506941099,44.5061061172095,43.048323551122,42.9891638074902,45.8179275017419,45.5109943068007,46.6110142757184,42.1958262865117,43.7639309893233,43.714964030776,46.372634081395,46.0512714741669,45.9335386000957,43.3546599650372,43.6360234699757,43.9815180051711
10,47.1176216418646,46.7278504715887,46.506272602773,46.8399484025672,47.013596995321,47.0924422122957,46.8133783622101,46.3346218917094,46.2561716629126,47.257526366977,47.4905901066429,47.5923295336908,45.9854312618699,46.6810444166225,46.5117091158941,47.7653212905844,47.8288427724515,47.7659843247104,46.4061931069777,46.235338702214,46.4769208339901
100,43.2016486177465,43.089167050744,42.9544227308249,41.7765140297367,41.4593665091731,41.6824428647799,43.3573095400219,43.3455787674948,43.3645645812176,41.3814418299563,41.2654126374123,41.607448348546,43.0608132126626,43.4347689912418,43.7071649758824,41.6648618324978,41.6018772086397,41.4280761289357,41.9910226523849,41.8745826074251,41.691004292881
101,45.0934583880917,45.2364870508437,44.9888466005477,44.0875141947983,43.7497324789759,44.0266411934091,45.3748167937177,45.9696722553205,45.4430025978838,43.0401017995233,43.2442611198186,43.8204846459717,45.1487373298469,45.485178446104,45.6074478622987,43.9353730134986,43.8598119231028,43.5498067466395,44.1769619263744,44.0826313646827,44.152255067212
102,43.8483231372036,43.9368490883141,43.8815562114953,42.2191093537206,42.1143202996935,41.8654632928055,44.2971442193152,43.6095155025126,43.6132351021519,42.3829248391129,42.5380973817441,42.6512805458702,43.3489150085437,44.0644020325806,43.7411470119856,42.8294898766869,42.8154814710024,43.0783670341327,42.4594966505779,42.399990907622,42.3188965616864
103,46.3783045319999,46.1588378482267,46.1471010665934,44.0662841858464,44.0140157948238,43.6161114450442,46.7701743349742,46.1064872491062,46.0047463200301,43.8943804832253,44.0987640172754,44.2551493365632,46.0460196230355,46.4209575270487,46.3258032863834,44.6865951534544,44.7145773788402,44.6136646781897,44.1116083955411,44.2093278645696,44.1915100384697
104,44.9581734156719,44.4343298672774,44.2529351481244,42.365148393779,42.7358257790825,42.7308166809267,44.4095574823636,44.104731294482,44.0975385466895,42.6636517205552,42.9582252656391,42.9410146299801,44.0106344474477,44.4030932251011,44.2903004215572,43.5025367625474,43.4063989146849,43.5198703468109,42.7763069945446,42.6358336111823,42.3405477252483
105,45.4015698325231,44.9603123104466,45.0091855610929,43.4450270247576,43.5849676426421,43.7321206503793,45.2803548473368,45.0806197448137,45.1774324039018,43.3319003739878,43.3684228708048,43.6601894183599,44.575716951158,45.2441616003044,44.9134395953436,44.0768830918972,43.6939994029944,44.0247835828624,43.720492682459,44.0419470062444,43.7960554115002
106,44.3475921149483,44.0474300101148,43.7186584838218,42.6573548760115,42.242296238861,42.6581289633072,44.4211956743176,44.1531180807349,44.0027843283114,42.2147732837668,42.3970654591492,42.9531907679321,43.4738004960593,44.1675328007946,43.8727948710878,42.8696949764661,42.708311880221,43.0419880694802,42.9716368649734,43.0371917699411,42.3832398538117
107,43.3595205621598,43.0939232550306,43.0716923657688,41.8248796281083,41.5667975335778,41.5933349858317,43.331847013145,43.3365425822341,43.10259230992,41.2347513693256,41.4943655439617,41.7119640423769,43.0983868869321,43.3491379562979,43.533126241472,42.1165374631484,41.9458088685337,41.9359528112401,41.6517686444959,41.7135623973575,41.493427309885
